男人=男人，男人，女人，女人，人 PERSON
部长=部长、部长、部长、部委 MINISTRIES
农学家 [~AGR]
农学家 [~AGR]
牧童 [~AGR]
牧场主 [~AGR]
裁剪机 [~AGR]
耕耘机 [~AGR]
奶场主 [~AGR]
奶农 [~AGR]
农民 [~AGR]
农场工人 [~AGR]
农场工人 [~AGR]
费希尔 [~AGR]
渔夫 [~AGR]
格兰杰 [~AGR]
牧民 [~AGR]
农夫 [~AGR]
土著农民 [~AGR]
米尔斯协会 [~AGR]
果园 [~AGR]
农民 [~AGR]
牧场主 [~AGR]
佃农 [~AGR]
佃农 [~AGR]
肥皂泡 [~AGR]
自给自足的农民 [~AGR]
佃农 [~AGR]
佛教徒 [~BUD]
佛教牧师 [~BUD]
佛教神职人员 [~BUD]
佛教传教士 [~BUD]
佛教寺院 [~BUD]
和尚 [~BUD]
佛教徒 [~BUD]
佛教学生 [~BUDEDU]
佛教武士 [~BUDUAF]
航空航天 [~BUS]
航空公司 [~BUS]
航空公司业务 [~BUS]
气道 [~BUS]
农业企业 [~BUSAGR]
军火工业 [~BUSMIL]
汽车制造商 [~BUS]
汽车制造商 [~BUS]
汽车制造商 [~BUS]
讨价还价者 [~BUS]
老板 [~BUS]
商人 [~BUS]
商人 [~BUS]
业务 [~BUS]
业务主管 [~BUS]
商界领袖 [~BUS]
商业大亨 [~BUS]
细木工 [~BUS]
货船 [~BUS]
货船 [~BUS]
汽车制造商 [~BUS]
汽车制造商 [~BUS]
汽车制造商 [~BUS]
首席执行官 [~BUS]
商会 [~BUS]
工商会 [~BUS]
商业银行 [~BUS]
商业企业 [~BUS]
公司 [~BUS]
公司所有人 [~BUS]
电脑制造商 [~BUS]
砾岩 [~BUS]
集装箱船 [~BUS]
集装箱船 [~BUS]
集装箱船 [~BUS]
公司主管 [~BUS]
公司 [~BUS]
信用合作社 [~BUS]
国防工业 [~BUS]
国防工业 [~BUS]
国防承包商 [~BUS]
国防承包商 [~BUS]
电子制造商 [~BUS]
雇主 [~BUS]
能源公司 [~BUS]
企业家 [~BUS]
企业家 [~BUS]
出口商 [~BUS]
货船 [~BUS]
家具制造商 [~BUS]
煤气公司 [~BUS]
总承包商 [~BUS]
持股公司 [~BUS]
工业 [~BUS]
投资者 [~BUS]
巨型喷气发动机 [~BUS]
巨型喷气式飞机 [~BUS]
地主 [~BUS]
领导银行 [~BUS]
制造业 [~BUS]
制造商 [~BUS]
跟单员 [~BUS]
商人 [~BUS]
商船 [~BUS]
商船 [~BUS]
贩卖毒品的人 [~BUS]
注油器 [~BUS]
石油公司 [~BUS]
石油集团 [~BUS]
油船 [~BUS]
私人公司的所有者 [~BUS]
私人银行 [~BUS]
生产者 [~BUS]
储蓄和贷款 [~BUS]
证券交易所 [~BUS]
店主 [~BUS]
炼钢厂 [~BUS]
钢铁工人 [~BUS]
钢铁大亨 [~BUS]
超级油轮 [~BUS]
